Date,State,TotalSamples,Negative,Positive,Total_affected
4/17/2020,Andaman and Nicobar Islands,1403,1210,12,48276
4/24/2020,Andaman and Nicobar Islands,2679,,27,58604
4/27/2020,Andaman and Nicobar Islands,2848,,33,99449
5/1/2020,Andaman and Nicobar Islands,3754,,33,195525
5/16/2020,Andaman and Nicobar Islands,6677,,33,251280
5/19/2020,Andaman and Nicobar Islands,6965,,33,365965
5/20/2020,Andaman and Nicobar Islands,7082,,33,549381
5/21/2020,Andaman and Nicobar Islands,7167,,33,759008
5/22/2020,Andaman and Nicobar Islands,7263,,33,835058
5/23/2020,Andaman and Nicobar Islands,7327,,33,1277104
5/24/2020,Andaman and Nicobar Islands,7327,,33,1293784
5/25/2020,Andaman and Nicobar Islands,7363,,33,1726490
5/26/2020,Andaman and Nicobar Islands,7448,,33,2295491
5/27/2020,Andaman and Nicobar Islands,7499,,33,2814803
5/28/2020,Andaman and Nicobar Islands,7519,,33,3067736
5/29/2020,Andaman and Nicobar Islands,7567,,33,3127107
5/30/2020,Andaman and Nicobar Islands,7567,,33,3350265
5/31/2020,Andaman and Nicobar Islands,7706,,33,3527971
6/1/2020,Andaman and Nicobar Islands,7805,,33,3825835
6/2/2020,Andaman and Nicobar Islands,8086,,33,4314304
6/3/2020,Andaman and Nicobar Islands,8295,,33,4765924
6/4/2020,Andaman and Nicobar Islands,8413,,33,5111827
6/5/2020,Andaman and Nicobar Islands,8694,,33,5168099
6/6/2020,Andaman and Nicobar Islands,9037,,33,5615499
6/7/2020,Andaman and Nicobar Islands,9242,,33,6002474
6/8/2020,Andaman and Nicobar Islands,9341,,33,6462270
6/9/2020,Andaman and Nicobar Islands,9859,,33,6958553
6/10/2020,Andaman and Nicobar Islands,10010,,35,7423817
6/11/2020,Andaman and Nicobar Islands,10226,,38,7708211
6/12/2020,Andaman and Nicobar Islands,10697,,38,7732278
6/13/2020,Andaman and Nicobar Islands,10955,,38,8253651
6/14/2020,Andaman and Nicobar Islands,11356,,38,8577226
6/15/2020,Andaman and Nicobar Islands,11518,,41,9023239
6/16/2020,Andaman and Nicobar Islands,11809,,44,9338267
6/17/2020,Andaman and Nicobar Islands,12239,,44,10241508
6/18/2020,Andaman and Nicobar Islands,12622,,45,10619113
6/19/2020,Andaman and Nicobar Islands,12930,,47,10651012
6/20/2020,Andaman and Nicobar Islands,13320,,47,11243679
6/21/2020,Andaman and Nicobar Islands,13434,,48,11597768
6/22/2020,Andaman and Nicobar Islands,13511,,48,12042958
6/23/2020,Andaman and Nicobar Islands,13723,,50,12819074
6/24/2020,Andaman and Nicobar Islands,13994,,56,13560932
6/25/2020,Andaman and Nicobar Islands,14277,,59,13560983
6/26/2020,Andaman and Nicobar Islands,14583,,72,13561208
6/27/2020,Andaman and Nicobar Islands,14851,,73,13561208
6/28/2020,Andaman and Nicobar Islands,15094,,83,14533954
6/29/2020,Andaman and Nicobar Islands,15410,,90,15383883
6/30/2020,Andaman and Nicobar Islands,15709,,97,16535703
7/1/2020,Andaman and Nicobar Islands,15982,,100,17871673
7/2/2020,Andaman and Nicobar Islands,16278,,109,19170828
7/3/2020,Andaman and Nicobar Islands,16626,,116,19288666
7/4/2020,Andaman and Nicobar Islands,16832,,119,21038500
7/5/2020,Andaman and Nicobar Islands,16909,,125,18360243
7/6/2020,Andaman and Nicobar Islands,17095,,141,19538547
7/7/2020,Andaman and Nicobar Islands,17381,,147,19953987
7/8/2020,Andaman and Nicobar Islands,17643,,149,21772159
7/9/2020,Andaman and Nicobar Islands,17852,,151,23159604
7/10/2020,Andaman and Nicobar Islands,18046,,156,23317750
7/11/2020,Andaman and Nicobar Islands,18315,,163,25618250
7/12/2020,Andaman and Nicobar Islands,18447,,163,31870745
7/13/2020,Andaman and Nicobar Islands,18609,,166,36496020
7/14/2020,Andaman and Nicobar Islands,18884,,171,38770404
7/15/2020,Andaman and Nicobar Islands,19061,,176,41309219
7/16/2020,Andaman and Nicobar Islands,19227,,180,43877868
7/17/2020,Andaman and Nicobar Islands,19421,,194,44645372
7/18/2020,Andaman and Nicobar Islands,19671,,198,47204633
7/19/2020,Andaman and Nicobar Islands,19904,,203,49973152
7/20/2020,Andaman and Nicobar Islands,20301,,207,52216237
7/21/2020,Andaman and Nicobar Islands,20642,,212,54589220
7/22/2020,Andaman and Nicobar Islands,21043,,221,57021164
7/23/2020,Andaman and Nicobar Islands,21310,,240,59235436
7/24/2020,Andaman and Nicobar Islands,21743,,259,59557120
7/25/2020,Andaman and Nicobar Islands,21965,,290,60183064
7/26/2020,Andaman and Nicobar Islands,22049,,324,61990242
7/27/2020,Andaman and Nicobar Islands,22548,,338,63935590
7/28/2020,Andaman and Nicobar Islands,22925,,363,66361722
7/29/2020,Andaman and Nicobar Islands,23217,,428,70090836
7/30/2020,Andaman and Nicobar Islands,23615,,471,73112119
7/31/2020,Andaman and Nicobar Islands,24038,,548,76405697
8/1/2020,Andaman and Nicobar Islands,24308,,636,79439889
8/2/2020,Andaman and Nicobar Islands,24580,,734,82065337
8/3/2020,Andaman and Nicobar Islands,25034,,830,87100627
8/4/2020,Andaman and Nicobar Islands,25492,,928,91881530
8/5/2020,Andaman and Nicobar Islands,25826,,1027,95583419
8/6/2020,Andaman and Nicobar Islands,26516,,1123,99069354
8/7/2020,Andaman and Nicobar Islands,26915,,1222,102000401
8/8/2020,Andaman and Nicobar Islands,27073,,1351,105970539
8/9/2020,Andaman and Nicobar Islands,27103,,1490,108598289
8/10/2020,Andaman and Nicobar Islands,27346,,1625,111913288
8/11/2020,Andaman and Nicobar Islands,27455,,1764,114598026
8/12/2020,Andaman and Nicobar Islands,27744,,1900,117305344
8/13/2020,Andaman and Nicobar Islands,27973,,2037,119971369
8/14/2020,Andaman and Nicobar Islands,28129,,2186,121207098
8/15/2020,Andaman and Nicobar Islands,28209,,2306,124457162
8/16/2020,Andaman and Nicobar Islands,28229,,2399,127428887
8/17/2020,Andaman and Nicobar Islands,28672,,2445,129646105
8/18/2020,Andaman and Nicobar Islands,28937,,2529,132754608
8/19/2020,Andaman and Nicobar Islands,29303,,2604,135658324
8/20/2020,Andaman and Nicobar Islands,29487,,2680,138185956
8/21/2020,Andaman and Nicobar Islands,29573,,2747,139185173
8/22/2020,Andaman and Nicobar Islands,29888,,2808,142524947
8/23/2020,Andaman and Nicobar Islands,30278,,2860,144879233
8/24/2020,Andaman and Nicobar Islands,30513,,2904,147053392
8/25/2020,Andaman and Nicobar Islands,31082,,2945,149268772
8/26/2020,Andaman and Nicobar Islands,31646,,2985,151998107
8/27/2020,Andaman and Nicobar Islands,31830,,3018,153626325
8/28/2020,Andaman and Nicobar Islands,32100,,3050,154211511
8/29/2020,Andaman and Nicobar Islands,32407,,3081,156082136
8/30/2020,Andaman and Nicobar Islands,32674,,3104,157750752
8/31/2020,Andaman and Nicobar Islands,33485,,3132,159931238
9/1/2020,Andaman and Nicobar Islands,35104,,3160,162603603
9/2/2020,Andaman and Nicobar Islands,36136,,,165190000
9/3/2020,Andaman and Nicobar Islands,37075,,3223,167493857
9/4/2020,Andaman and Nicobar Islands,37825,,3257,168304868
9/5/2020,Andaman and Nicobar Islands,38574,,3292,171098918
9/6/2020,Andaman and Nicobar Islands,39205,,3332,173862643
9/7/2020,Andaman and Nicobar Islands,39995,,3359,176045577
9/8/2020,Andaman and Nicobar Islands,41039,,3392,178361846
9/9/2020,Andaman and Nicobar Islands,41776,,3426,179646413
9/10/2020,Andaman and Nicobar Islands,42792,,3465,181544536
9/11/2020,Andaman and Nicobar Islands,43680,,3494,182251006
9/12/2020,Andaman and Nicobar Islands,44570,,3521,183817204
9/13/2020,Andaman and Nicobar Islands,45279,,3546,185191602
9/14/2020,Andaman and Nicobar Islands,45987,,3557,186410600
9/15/2020,Andaman and Nicobar Islands,46823,,3574,187886885
9/16/2020,Andaman and Nicobar Islands,47794,,3593,189344105
9/17/2020,Andaman and Nicobar Islands,48861,,3604,190936859
9/18/2020,Andaman and Nicobar Islands,50035,,3631,191877460
9/19/2020,Andaman and Nicobar Islands,50681,,3644,194313920
9/20/2020,Andaman and Nicobar Islands,51262,,3651,196463495
9/21/2020,Andaman and Nicobar Islands,52220,,3673,198425615
9/22/2020,Andaman and Nicobar Islands,52845,,3691,201438120
9/23/2020,Andaman and Nicobar Islands,53591,,3712,204617572
9/24/2020,Andaman and Nicobar Islands,52992,,3744,207796464
9/25/2020,Andaman and Nicobar Islands,55169,,3759,208907723
9/26/2020,Andaman and Nicobar Islands,56059,,3774,211778491
9/27/2020,Andaman and Nicobar Islands,56661,,3794,214314522
9/28/2020,Andaman and Nicobar Islands,57343,,3803,216858197
9/29/2020,Andaman and Nicobar Islands,58135,,3821,219831571
9/30/2020,Andaman and Nicobar Islands,58763,,3835,223642281
10/1/2020,Andaman and Nicobar Islands,59676,,3848,227162503
10/2/2020,Andaman and Nicobar Islands,60437,,3858,228624578
